lsoa_code,borough,major_category,minor_category,value,year,month
E01000256,Barnet,Theft and Handling,Handling Stolen Goods,0,2010,12
E01004370,Waltham Forest,Drugs,Possession Of Drugs,4,2011,2
E01003653,Redbridge,Violence Against the Person,Offensive Weapon,0,2015,4
E01002957,Kingston upon Thames,Violence Against the Person,Murder,0,2012,4
E01000846,Camden,Violence Against the Person,Offensive Weapon,0,2015,10
E01002447,Hillingdon,Theft and Handling,Theft From Motor Vehicle,3,2013,1
E01002015,Haringey,Violence Against the Person,Harassment,0,2008,7
E01001906,Hammersmith and Fulham,Violence Against the Person,Assault with Injury,1,2010,6
E01003451,Merton,Violence Against the Person,Offensive Weapon,0,2015,9
E01004389,Waltham Forest,Violence Against the Person,Harassment,1,2014,5
E01000643,Brent,Violence Against the Person,Harassment,3,2013,6
E01003745,Redbridge,Violence Against the Person,Other violence,0,2016,5
E01000250,Barnet,Violence Against the Person,Wounding/GBH,0,2012,3
E01001911,Hammersmith and Fulham,Violence Against the Person,Common Assault,1,2014,3
E01000081,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2016,8
E01004717,Westminster,Violence Against the Person,Offensive Weapon,0,2013,2
E01001417,Enfield,Burglary,Burglary in Other Buildings,0,2014,12
E01001732,Hackney,Drugs,Drug Trafficking,0,2008,11
E01002888,Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,1,2015,5
E01003771,Redbridge,Theft and Handling,Other Theft,1,2008,11
E01003317,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2010,11
E01003114,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,1,2013,4
E01000624,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,4
E01003879,Richmond upon Thames,Violence Against the Person,Assault with Injury,0,2009,12
E01000179,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,7
E01000865,Camden,Criminal Damage,Criminal Damage To Other Building,1,2009,8
E01003515,Newham,Burglary,Burglary in Other Buildings,1,2011,5
E01002100,Haringey,Violence Against the Person,Harassment,0,2012,8
E01001680,Greenwich,Violence Against the Person,Wounding/GBH,0,2012,9
E01033493,Islington,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,3
E01003261,Lewisham,Drugs,Possession Of Drugs,0,2015,12
E01001803,Hackney,Theft and Handling,Other Theft,1,2009,8
E01000562,Brent,Burglary,Burglary in Other Buildings,0,2014,6
E01002339,Havering,Violence Against the Person,Common Assault,0,2010,2
E01003308,Lewisham,Violence Against the Person,Assault with Injury,2,2016,3
E01003397,Merton,Drugs,Drug Trafficking,0,2009,5
E01003404,Merton,Theft and Handling,Handling Stolen Goods,0,2008,6
E01033607,Westminster,Criminal Damage,Criminal Damage To Other Building,0,2015,12
E01004481,Wandsworth,Theft and Handling,Theft From Motor Vehicle,1,2010,2
E01004336,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,8
E01000410,Bexley,Burglary,Burglary in Other Buildings,0,2008,4
E01001742,Hackney,Other Notifiable Offences,Other Notifiable,0,2010,9
E01004171,Sutton,Robbery,Personal Property,1,2014,3
E01002216,Harrow,Drugs,Possession Of Drugs,0,2013,5
E01000668,Bromley,Drugs,Possession Of Drugs,0,2015,12
E01001722,Hackney,Violence Against the Person,Offensive Weapon,0,2009,6
E01001947,Hammersmith and Fulham,Burglary,Burglary in a Dwelling,0,2011,1
E01033709,Hackney,Violence Against the Person,Common Assault,1,2011,9
E01003428,Merton,Drugs,Possession Of Drugs,1,2011,4
E01001972,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,5
E01000303,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,1,2015,12
E01001875,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,0,2011,1
E01004269,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2010,4
E01001799,Hackney,Violence Against the Person,Offensive Weapon,0,2015,1
E01004005,Southwark,Violence Against the Person,Common Assault,1,2014,11
E01000549,Brent,Violence Against the Person,Harassment,2,2008,7
E01002531,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,5
E01003054,Lambeth,Violence Against the Person,Harassment,1,2013,1
E01002786,Islington,Criminal Damage,Other Criminal Damage,2,2011,5
E01002083,Haringey,Criminal Damage,Criminal Damage To Other Building,0,2015,1
E01004430,Waltham Forest,Other Notifiable Offences,Other Notifiable,0,2015,11
E01004325,Tower Hamlets,Violence Against the Person,Common Assault,2,2013,4
E01002939,Kingston upon Thames,Burglary,Burglary in a Dwelling,0,2016,4
E01003948,Southwark,Theft and Handling,Theft From Shops,0,2016,11
E01002113,Harrow,Theft and Handling,Theft From Motor Vehicle,1,2010,9
E01003411,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,2
E01002762,Islington,Robbery,Business Property,0,2010,1
E01001967,Haringey,Theft and Handling,Theft From Motor Vehicle,0,2014,4
E01000279,Barnet,Violence Against the Person,Assault with Injury,1,2013,3
E01001922,Hammersmith and Fulham,Robbery,Business Property,0,2013,11
E01033724,Hillingdon,Violence Against the Person,Offensive Weapon,0,2011,9
E01002033,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,3,2012,4
E01000566,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,12
E01000940,Camden,Violence Against the Person,Assault with Injury,1,2015,11
E01001206,Ealing,Other Notifiable Offences,Going Equipped,0,2011,2
E01000179,Barnet,Theft and Handling,Handling Stolen Goods,0,2011,4
E01033571,Richmond upon Thames,Drugs,Possession Of Drugs,0,2013,6
E01001225,Ealing,Violence Against the Person,Other violence,0,2010,1
E01000582,Brent,Robbery,Personal Property,1,2016,1
E01004378,Waltham Forest,Drugs,Drug Trafficking,0,2014,10
E01004072,Southwark,Robbery,Business Property,0,2013,4
E01004511,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2010,1
E01003508,Newham,Criminal Damage,Criminal Damage To Other Building,0,2015,11
E01002013,Haringey,Criminal Damage,Other Criminal Damage,0,2014,6
E01001597,Greenwich,Theft and Handling,Theft From Motor Vehicle,1,2014,6
E01001315,Ealing,Theft and Handling,Theft From Shops,0,2009,3
E01003682,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,6
E01004387,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2008,7
E01001120,Croydon,Violence Against the Person,Common Assault,0,2011,6
E01002613,Hounslow,Burglary,Burglary in a Dwelling,0,2008,3
E01002107,Harrow,Drugs,Drug Trafficking,0,2008,11
E01000836,Bromley,Violence Against the Person,Common Assault,0,2013,4
E01004652,Westminster,Theft and Handling,Other Theft Person,1,2011,5
E01001917,Hammersmith and Fulham,Violence Against the Person,Common Assault,0,2008,8
E01000219,Barnet,Violence Against the Person,Murder,0,2011,11
E01001294,Ealing,Violence Against the Person,Common Assault,1,2011,8
E01002636,Hounslow,Violence Against the Person,Harassment,0,2014,2
E01001477,Enfield,Robbery,Personal Property,0,2013,7
E01003189,Lewisham,Robbery,Business Property,0,2015,7
E01000599,Brent,Burglary,Burglary in a Dwelling,0,2010,5
E01002646,Hounslow,Violence Against the Person,Offensive Weapon,0,2013,5
E01000478,Brent,Robbery,Personal Property,1,2012,6
E01001216,Ealing,Drugs,Drug Trafficking,0,2013,2
E01000520,Brent,Drugs,Possession Of Drugs,1,2009,7
E01000400,Bexley,Theft and Handling,Theft From Motor Vehicle,2,2014,4
E01000478,Brent,Violence Against the Person,Other violence,1,2009,4
E01000311,Barnet,Violence Against the Person,Assault with Injury,0,2008,12
E01000766,Bromley,Burglary,Burglary in Other Buildings,0,2013,1
E01000750,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01033591,Redbridge,Drugs,Drug Trafficking,0,2014,10
E01001906,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,0,2012,10
E01000389,Bexley,Violence Against the Person,Harassment,2,2015,7
E01003304,Lewisham,Theft and Handling,Other Theft,5,2008,7
E01001822,Hackney,Other Notifiable Offences,Other Notifiable,0,2010,9
